date,location_key,new_confirmed,new_deceased,new_recovered,new_tested,cumulative_confirmed,cumulative_deceased,cumulative_recovered,cumulative_tested,year
2022-01-01,CL,1930.0,25.0,0.0,59275.0,1808398.0,39140.0,,0.0,2022
2022-01-02,CL,1921.0,22.0,0.0,26554.0,1810302.0,39162.0,,0.0,2022
2022-01-03,CL,1005.0,11.0,0.0,25783.0,1811297.0,39173.0,,0.0,2022
2022-01-04,CL,1058.0,1.0,0.0,52023.0,1812348.0,39174.0,,0.0,2022
2022-01-05,CL,1858.0,3.0,0.0,74438.0,1814188.0,39177.0,,0.0,2022
2022-01-06,CL,3134.0,30.0,0.0,74482.0,1817300.0,39207.0,,0.0,2022
2022-01-07,CL,3799.0,25.0,0.0,77829.0,1821071.0,39232.0,,0.0,2022
2022-01-08,CL,4380.0,19.0,0.0,75979.0,1825417.0,39251.0,,0.0,2022
2022-01-09,CL,4064.0,21.0,0.0,66950.0,1829437.0,39272.0,,0.0,2022
2022-01-10,CL,4069.0,13.0,0.0,50535.0,1833478.0,39285.0,,0.0,2022
2022-01-11,CL,3922.0,4.0,0.0,59038.0,1837390.0,39289.0,,0.0,2022
2022-01-12,CL,4847.0,1.0,0.0,95967.0,1842218.0,39290.0,,0.0,2022
2022-01-13,CL,7291.0,41.0,0.0,89252.0,1849465.0,39331.0,,0.0,2022
2022-01-14,CL,8270.0,24.0,0.0,94825.0,1857764.0,39355.0,,0.0,2022
2022-01-15,CL,9284.0,21.0,0.0,96108.0,1867101.0,39376.0,,0.0,2022
2022-01-16,CL,9454.0,18.0,0.0,87568.0,1876610.0,39394.0,,0.0,2022
2022-01-17,CL,8904.0,32.0,0.0,59971.0,1885540.0,39426.0,,0.0,2022
2022-01-18,CL,7533.0,1.0,0.0,70480.0,1893115.0,39427.0,,0.0,2022
2022-01-19,CL,9509.0,4.0,0.0,96981.0,1902657.0,39431.0,,0.0,2022
2022-01-20,CL,12500.0,25.0,0.0,102755.0,1916522.0,39456.0,,0.0,2022
2022-01-21,CL,14757.0,18.0,0.0,96583.0,1934204.0,39474.0,,0.0,2022
2022-01-22,CL,14449.0,23.0,0.0,91715.0,1949675.0,39497.0,,0.0,2022
2022-01-23,CL,13674.0,15.0,0.0,96154.0,1965393.0,39512.0,,0.0,2022
2022-01-24,CL,14780.0,23.0,0.0,80163.0,1984190.0,39535.0,,0.0,2022
2022-01-25,CL,14291.0,8.0,0.0,91398.0,2001346.0,39543.0,,0.0,2022
2022-01-26,CL,18446.0,4.0,0.0,114063.0,2020082.0,39547.0,,0.0,2022
2022-01-27,CL,24037.0,47.0,0.0,125215.0,2045874.0,39594.0,,0.0,2022
2022-01-28,CL,26727.0,26.0,0.0,132299.0,2075703.0,39620.0,,0.0,2022
2022-01-29,CL,29175.0,33.0,0.0,130969.0,2107612.0,39653.0,,0.0,2022
2022-01-30,CL,28480.0,31.0,0.0,119417.0,2137743.0,39684.0,,0.0,2022
2022-01-31,CL,26244.0,37.0,0.0,93028.0,2165984.0,39721.0,,0.0,2022
2022-02-01,CL,22192.0,12.0,0.0,111306.0,2190561.0,39733.0,,0.0,2022
2022-02-02,CL,29844.0,9.0,0.0,137013.0,2221276.0,39742.0,,0.0,2022
2022-02-03,CL,35197.0,82.0,0.0,141234.0,2258005.0,39824.0,,0.0,2022
2022-02-04,CL,37468.0,43.0,0.0,136073.0,2296712.0,39867.0,,0.0,2022
2022-02-05,CL,36297.0,63.0,0.0,134185.0,2335034.0,39930.0,,0.0,2022
2022-02-06,CL,34328.0,57.0,0.0,118824.0,2371833.0,39987.0,,0.0,2022
2022-02-07,CL,31063.0,73.0,0.0,96219.0,2405672.0,40060.0,,0.0,2022
2022-02-08,CL,24970.0,27.0,0.0,113966.0,2431845.0,40087.0,,0.0,2022
2022-02-09,CL,33362.0,24.0,0.0,129605.0,2466098.0,40111.0,,0.0,2022
2022-02-10,CL,36635.0,162.0,0.0,135064.0,2504168.0,40273.0,,0.0,2022
2022-02-11,CL,38446.0,97.0,0.0,124704.0,2545819.0,40370.0,,0.0,2022
2022-02-12,CL,35841.0,94.0,0.0,123943.0,2582934.0,40464.0,,0.0,2022
2022-02-13,CL,35038.0,94.0,0.0,99297.0,2621427.0,40558.0,,0.0,2022
2022-02-14,CL,28076.0,108.0,0.0,75710.0,2652713.0,40666.0,,0.0,2022
2022-02-15,CL,22845.0,32.0,0.0,101768.0,2677692.0,40698.0,,0.0,2022
2022-02-16,CL,30971.0,37.0,0.0,122384.0,2709854.0,40735.0,,0.0,2022
